;;;;;;;;;;;;;;;;;;;;;;;
;DADOS DA COMPANHIA;;;; INFORMAÇÕES DA OFERTA;;;;; ANÚNCIO DE ENCERRAMENTO ;;;;;PARTICIPAÇÃO DOS INVESTIDORES (%) ³;;;;; VOLUME TOTAL (R$) ;;;
;NOME DE PREGÃO;LISTAGEM NA OFERTA;CLASSIFICAÇÃO SETORIAL (SEGMENTO);COORDENADOR LÍDER;CLASSIFICAÇÃO;TIPO;FIXAÇÃO DE PREÇO;PREÇO POR AÇÃO / UNIT / BDR (LÇTO.)4;INÍCIO DE NEGOCIAÇÃO;Nº DE PESSOAS FÍSICAS; Nº TOTAL DE INVESTIDORES ; VOLUME PRIMÁRIA (R$) ; VOLUME SECUNDÁRIA (R$) ;VOLUME TOTAL (R$);VAREJO;INSTITUCIONAL;ESTRANGEIROS;OUTROS;;ANO;IPO;FOLLOW-ON;TOTAL
;SAO CARLOS;NM;Exploração de Imóveis;Credit Suisse;FOLLOW-ON;ICVM 400;12/12/2006;R$ 19,50;14/12/06; 6.445 ; 6.821 ; 341.250.000 ; 139.670.018 ; 480.920.018 ;10%;10%;75%;5%;;;;;
;LOPES BRASIL;NM;Intermediação Imobiliária;UBS;IPO;ICVM 400;14/12/2006;R$ 20,00;18/12/06; 9.803 ; 10.438 ; - ; 474.720.000 ; 474.720.000 ;11%;18%;71%;0%;;;;;
;DUFRYBRAS;BDR;Produtos Diversos;UBS;IPO;ICVM 400;18/12/2006;R$ 26,84;20/12/06; 10.039 ; 10.805 ; - ; 849.754.937 ; 849.754.937 ;10%;21%;69%;0%;;;;;
;PDG REALT;NM;Construção Civil;UBS;IPO;ICVM 400;24/01/2007;R$ 14,00;26/01/07; 11.826 ; 12.422 ; 432.263.062 ; 216.131.538 ; 648.394.600 ;9%;6%;84%;1%;;;;;
;RODOBENSIMOB;NM;Construção Civil;JP Morgan;IPO;ICVM 400;29/01/2007;R$ 19,50;31/01/07; 13.963 ; 14.782 ; 448.500.000 ; - ; 448.500.000 ;11%;22%;67%;0%;;;;;
;CC DES IMOB;NM;Construção Civil;Credit Suisse;IPO;ICVM 400;29/01/2007;R$ 14,50;31/01/07; 22.002 ; 23.552 ; 478.500.000 ; 43.499.986 ; 521.999.986 ;13%;38%;48%;1%;;;;;
;TECNISA;NM;Construção Civil;Credit Suisse;IPO;ICVM 400;30/01/2007;R$ 13,00;01/02/07; 17.187 ; 18.216 ; 590.652.257 ; 200.650.827 ; 791.303.084 ;10%;17%;59%;13%;;;;;
;IGUATEMI;NM;Exploração de Imóveis;Santander;IPO;ICVM 400;05/02/2007;R$ 30,00;07/02/07; 16.710 ; 18.100 ; 548.677.440 ; - ; 548.677.440 ;9%;18%;72%;0%;;;;;
;EMBRAER;NM;Material Aeronáutico;JP Morgan;FOLLOW-ON;ICVM 400;06/02/2007;R$ 21,35;08/02/07; 3.936 ; 4.278 ; - ; 1.789.970.678 ; 1.789.970.678 ;2%;10%;88%;0%;;;;;
;SUZANO PAPEL;N1;Papel e Celulose;Credit Suisse;FOLLOW-ON;ICVM 400;07/02/2007;R$ 23,00;09/02/07; 2.866 ; 3.144 ; - ; 543.696.011 ; 543.696.011 ;10%;32%;58%;1%;;;;;
